sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST_1,source_tier_first,NVSS,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,FIRST_2,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
013019.75+074009.6,22.582319439381934,7.6693580142267175,4.486,PIPE,J013019.7+074009,1,013019+074009,1,J013020+073949,1,J013019.7+074009,1,22.58227917,7.66923611,J013019.7+074009,FITS,01 30 19.747,+07 40 09.25,0.014,16.72,17.47,0.122,1.8,0.0,53.0,2,s,0,2009.354,2454961.8,7.584
102623.62+254259.4,156.5984526676036,25.71651275619188,5.25,VI,J102623.6+254259,1,102623+254259,1,J102623+254302,1,J102623.6+254259,1,156.5984125,25.71656944,J102623.6+254259,FITS,10 26 23.619,+25 42 59.65,0.014,230.81,239.44,0.14,1.17,0.9,23.3,1,s,0,1995.891,2450043.6,1.581
021655.64+051018.3,34.23183767175351,5.171758774590351,3.818,PIPE,J021655.6+051018,1,021655+051018,1,J021656+051016,1,J021655.7+051020,1,34.23185,5.17179722,J021655.6+051018,FITS,02 16 55.644,+05 10 18.47,0.014,23.88,24.21,0.118,0.87,0.4,129.3,1,s,0,2009.322,2454949.9,20.411
010719.83+013401.3,16.83264965067616,1.567054446761795,3.282,PIPE,J010719.8+013401,1,010719+013400,1,J010721+013349,1,J010719.7+013401,1,16.83260417,1.56701389,J010719.8+013401,FITS,01 07 19.825,+01 34 01.25,0.014,92.73,102.31,0.39,2.46,0.77,112.0,2,s,0,1996.666,2450327.1,1223.758
012612.31+113016.3,21.55131145061796,11.504530618917316,3.099,PIPE,J012612.4+113017,1,012612+113009,1,J012612+113005,1,J012612.3+113011,1,21.55190833,11.50487222,J012612.4+113017,FITS,01 26 12.458,+11 30 17.54,0.014,2.09,14.69,0.151,24.59,7.76,28.4,1,s,0,2011.227,2455645.4,3.129
002749.04+003300.2,6.9543474038865725,0.550056445164072,3.089,PIPE,J002748.9+003300,1,002748+003258,1,J002748+003255,1,J002748.9+003300,1,6.95401667,0.55010556,J002748.9+003300,FITS,00 27 48.964,+00 33 00.38,0.014,16.38,19.21,0.109,3.35,0.0,102.8,2,g,1,1999.056,2451200.0,1236.887
094004.80+052630.9,145.02000341768743,5.441942827044473,4.503,VI,J094004.8+052630,1,094004+052631,1,J094004+052633,1,J094004.7+052631,1,145.02005,5.44189444,J094004.8+052630,FITS,09 40 04.812,+05 26 30.82,0.014,55.66,58.48,0.139,1.43,0.97,150.4,1,s,0,2000.115,2451586.7,0.374
083549.42+182520.0,128.95593909853739,18.422248224905307,4.412,VI,J083549.4+182520,1,083549+182519,1,J083548+182504,1,J083549.4+182519,1,128.95595417,18.42227778,J083549.4+182520,FITS,08 35 49.429,+18 25 20.20,0.014,51.49,52.35,0.134,1.05,0.0,159.6,1,s,0,1999.861,2451493.9,0.362
153533.88+025423.3,233.8911962705384,2.906495793639392,4.388,VI,J153533.8+025423,1,153533+025422,1,J153533+025421,1,J153533.8+025422,1,233.8912375,2.90652778,J153533.8+025423,FITS,15 35 33.897,+02 54 23.50,0.014,78.82,80.25,0.147,0.98,0.56,41.0,1,s,0,1998.541,2451011.9,1.204
102107.57+220921.4,155.28156874881194,22.1559589972318,4.262,VI,J102107.5+220921,1,102107+220921,1,J102107+220924,1,J102107.5+220922,1,155.28160417,22.155925,J102107.5+220921,FITS,10 21 07.585,+22 09 21.33,0.014,134.67,139.31,0.472,1.11,0.89,13.1,2,s,0,1997.782,2450734.9,477.522
