sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST,source_tier_first,NVSS_1,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,recno,NVSS_2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,S1.4,e_S1.4,l_MajAxis,MajAxis,l_MinAxis,MinAxis,f_resFlux
013019.75+074009.6,22.582319439381934,7.6693580142267175,4.486,PIPE,J013019.7+074009,1,013019+074009,1,J013020+073949,1,J013019.7+074009,1,22.582,7.6691944,111068,013019+074009,01 30 19.68,+07 40 09.1,0.06,0.9,20.3,0.7,<,20.8,<,17.9,
102623.62+254259.4,156.5984526676036,25.71651275619188,5.25,VI,J102623.6+254259,1,102623+254259,1,J102623+254302,1,J102623.6+254259,1,156.598375,25.7166111,771791,102623+254259,10 26 23.61,+25 42 59.8,0.03,0.6,256.9,7.7,<,16.9,<,14.5,
021655.64+051018.3,34.23183767175351,5.171758774590351,3.818,PIPE,J021655.6+051018,1,021655+051018,1,J021656+051016,1,J021655.7+051020,1,34.2317917,5.1718611,168320,021655+051018,02 16 55.63,+05 10 18.7,0.04,0.7,33.5,1.1,<,20.1,<,17.0,
010719.83+013401.3,16.83264965067616,1.567054446761795,3.282,PIPE,J010719.8+013401,1,010719+013400,1,J010721+013349,1,J010719.7+013401,1,16.8322083,1.5668333,83040,010719+013400,01 07 19.73,+01 34 00.6,0.03,0.6,101.8,3.1,<,16.7,<,15.5,
012612.31+113016.3,21.55131145061796,11.504530618917316,3.099,PIPE,J012612.4+113017,1,012612+113009,1,J012612+113005,1,J012612.3+113011,1,21.5517083,11.5025278,106183,012612+113009,01 26 12.41,+11 30 09.1,0.04,0.6,56.1,2.1," ",21.7,<,17.5,
002749.04+003300.2,6.9543474038865725,0.550056445164072,3.089,PIPE,J002748.9+003300,1,002748+003258,1,J002748+003255,1,J002748.9+003300,1,6.954,0.5496944,34303,002748+003258,00 27 48.96,+00 32 58.9,0.06,0.9,20.2,0.7,<,18.5,<,18.2,
094004.80+052630.9,145.02000341768743,5.441942827044473,4.503,VI,J094004.8+052630,1,094004+052631,1,J094004+052633,1,J094004.7+052631,1,145.0198333,5.4420556,714896,094004+052631,09 40 04.76,+05 26 31.4,0.03,0.6,61.7,1.9,<,17.6,<,16.4,
083549.42+182520.0,128.95593909853739,18.422248224905307,4.412,VI,J083549.4+182520,1,083549+182519,1,J083548+182504,1,J083549.4+182519,1,128.9557083,18.4221667,635996,083549+182519,08 35 49.37,+18 25 19.8,0.04,0.6,53.2,1.6,<,17.6,<,15.1,
153533.88+025423.3,233.8911962705384,2.906495793639392,4.388,VI,J153533.8+025423,1,153533+025422,1,J153533+025421,1,J153533.8+025422,1,233.8910417,2.9063611,1151279,153533+025422,15 35 33.85,+02 54 22.9,0.03,0.6,59.5,1.8,<,15.9,<,14.8,
102107.57+220921.4,155.28156874881194,22.1559589972318,4.262,VI,J102107.5+220921,1,102107+220921,1,J102107+220924,1,J102107.5+220922,1,155.28175,22.1560278,765282,102107+220921,10 21 07.62,+22 09 21.7,0.03,0.6,153.0,4.6,<,19.1,<,18.1,
011540.51+035643.3,18.918795810657684,3.945377732681867,4.189,VI,J011540.5+035643,1,011540+035642,1,J011540+035709,1,J011540.5+035643,1,18.91875,3.9452222,93066,011540+035642,01 15 40.50,+03 56 42.8,0.03,0.6,98.9,3.0,<,18.9,<,17.1,
142048.01+120545.9,215.2000496259252,12.096100000887946,4.026,VI,J142048.0+120546,1,142047+120547,1,J142048+120550,1,J142047.9+120546,1,215.1998333,12.0964444,1059862,142047+120547,14 20 47.96,+12 05 47.2,0.03,0.6,91.6,2.8,<,17.6,<,17.0,
105407.13-012342.3,163.5297439214346,-1.395110014,3.984,VI,J105407.1-012342,1,105407-012342,1,J105407-012349,1,J105407.0-012342,1,163.5298333,-1.3950556,805990,105407-012342,10 54 07.16,-01 23 42.2,0.03,0.6,55.2,1.7,<,17.8,<,14.6,
034402.85-065300.6,56.011882,-6.883502,3.942,DR6Q_HW,J034402.8-065300,1,034402-065254,1,J034402-065301,1,J034403.0-065255,1,56.0124167,-6.8818333,276830,034402-065254,03 44 02.98,-06 52 54.6,0.07,1.2,14.7,0.6,<,24.6,<,20.5,
155930.97+030448.1,239.87904974515965,3.0800517491744697,3.895,VI,J155930.9+030448,1,155930+030447,1,J155931+030456,1,J155930.9+030448,1,239.8789583,3.0799722,1180024,155930+030447,15 59 30.95,+03 04 47.9,0.03,0.6,399.8,12.0,<,16.5,<,15.9,P*
082323.32+155206.8,125.84717662459765,15.868564901977727,3.793,VI,J082323.3+155206,1,082323+155207,1,J082322+155153,1,J082323.2+155206,1,125.8474167,15.86875,621117,082323+155207,08 23 23.38,+15 52 07.5,0.03,0.6,75.2,2.3,<,14.3,<,14.3,S*
135406.89-020603.2,208.528736,-2.100897,3.719,DR6Q_HW,J135406.8-020603,1,135406-020603,1,J135406-020605,1,J135406.8-020603,1,208.5290417,-2.1008611,1027003,135406-020603,13 54 06.97,-02 06 03.1,0.03,0.6,733.4,25.9," ",14.5,<,18.7,P*
080710.74+131739.4,121.79477975113514,13.294297328184715,3.716,VI,J080710.7+131739,1,080710+131739,1,J080709+131743,1,J080710.6+131740,1,121.7947083,13.2941944,601095,080710+131739,08 07 10.73,+13 17 39.1,0.04,0.6,50.8,1.6,<,15.3,<,14.7,
083322.49+095941.2,128.3437464843796,9.99478743618365,3.713,VI,J083322.5+095941,1,083322+095941,1,J083322+095937,1,J083322.4+095941,1,128.34375,9.9948333,633111,083322+095941,08 33 22.50,+09 59 41.4,0.03,0.6,121.5,3.7,<,18.3,<,16.3,
110147.88+001039.4,165.44952836375555,0.17762067190867664,3.693,VI,J110147.8+001039,1,110147+001038,1,J110148+001039,1,J110147.8+001039,1,165.4495417,0.1774167,815108,110147+001038,11 01 47.89,+00 10 38.7,0.03,0.6,197.9,6.0,<,17.4,<,15.2,P*
003843.98+031120.9,9.683276650663402,3.189141097906384,3.674,VI,J003843.9+031120,1,003843+031120,1,J003844+031119,1,J003843.9+031121,1,9.6830833,3.1891389,47677,003843+031120,00 38 43.94,+03 11 20.9,0.03,0.6,113.2,3.4,<,18.9,<,15.5,
100012.26+102151.8,150.05109881034574,10.364406790930898,3.639,VI,J100012.2+102151,1,100012+102159,1,J100012+102207,1,J100012.2+102159,1,150.0507083,10.3665,739536,100012+102159,10 00 12.17,+10 21 59.4,0.05,0.7,61.9,2.3," ",59.8,<,19.9,S*
