sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST,source_tier_first,NVSS,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1_1,source_tier_racs,recno,RACS-DR1_2,ID,Tile,SBID,MJD,Ng,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Ftot,e_Ftot,s_Ftot,Fpk,e_Fpk,amaj,e_amaj,bmin,e_bmin,PA,e_PA,amaj0,e_amaj0,bmin0,e_bmin0,PA0,e_PA0,Mult,Sep,Noise,GLON,GLAT,Flag
013019.75+074009.6,22.582319439381934,7.6693580142267175,4.486,PIPE,J013019.7+074009,1,013019+074009,1,J013020+073949,1,J013019.7+074009,1,141911,J013019.7+074009,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  141911,RACS_0126+06A,8572,58598.19703,1,22.582101,7.669253,0.25,0.24,25.806,1.052,2.535,26.028,0.611,25.23,0.6,24.57,0.57,106.51,36.53,,0.6,,0.57,0.0,36.53,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,1.6167,0.612,139.455076,-53.950162,-
102623.62+254259.4,156.5984526676036,25.71651275619188,5.25,VI,J102623.6+254259,1,102623+254259,1,J102623+254302,1,J102623.6+254259,1,910900,J102623.6+254259,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  910900,RACS_1024+25A,13665,58970.48801,1,156.598418,25.716631,0.01,0.01,297.501,0.462,21.33,292.623,0.264,25.23,0.02,25.19,0.02,102.56,21.42,3.39,0.02,3.05,0.02,102.56,21.42,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,0.6802,0.263,207.04678,57.608277,-
021655.64+051018.3,34.23183767175351,5.171758774590351,3.818,PIPE,J021655.6+051018,1,021655+051018,1,J021656+051016,1,J021655.7+051020,1,220100,J021655.7+051020,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  220100,RACS_0216+06A,10383,58787.71027,2,34.232313,5.172497,0.1,0.09,43.325,0.881,3.641,36.332,0.302,27.31,0.24,25.48,0.21,32.99,5.22,10.98,0.24,4.94,0.21,32.99,5.22,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,1.1265,0.302,158.737956,-51.655844,-
010719.83+013401.3,16.83264965067616,1.567054446761795,3.282,PIPE,J010719.8+013401,1,010719+013400,1,J010721+013349,1,J010719.7+013401,1,100327,J010719.7+013401,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  100327,RACS_0102+00A,8582,58600.09571,1,16.832386,1.56715,0.32,0.23,184.157,8.216,15.711,185.834,4.754,26.87,0.74,23.06,0.55,89.82,7.32,,0.74,,0.55,0.0,7.32,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,2.0458,4.785,131.158341,-61.050515,-
012612.31+113016.3,21.55131145061796,11.504530618917316,3.099,PIPE,J012612.4+113017,1,012612+113009,1,J012612+113005,1,J012612.3+113011,1,121392,J012612.3+113011,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  121392,RACS_0115+12A,8572,58598.15429,2,21.551475,11.503105,0.17,0.1,82.139,1.773,6.496,58.489,0.585,32.92,0.4,24.87,0.23,6.93,1.78,,0.4,,0.23,0.0,1.78,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,2.7655,0.585,136.382594,-50.458417,-
002749.04+003300.2,6.9543474038865725,0.550056445164072,3.089,PIPE,J002748.9+003300,1,002748+003258,1,J002748+003255,1,J002748.9+003300,1,69640,J002748.9+003300,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=   69640,RACS_0037+00A,8578,58599.14417,1,6.954086,0.550265,0.35,0.33,35.746,1.901,3.553,33.865,1.058,26.41,0.85,25.0,0.76,59.13,24.12,8.45,0.85,0.33,0.76,59.13,24.12,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,2.4196,1.045,110.380105,-61.744468,-
094004.80+052630.9,145.02000341768743,5.441942827044473,4.503,VI,J094004.8+052630,1,094004+052631,1,J094004+052633,1,J094004.7+052631,1,863347,J094004.7+052631,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  863347,RACS_0943+06A,13661,58970.44136,1,145.019826,5.442085,0.04,0.04,88.185,0.617,6.701,85.552,0.349,25.51,0.1,25.26,0.1,27.3,16.7,5.06,0.1,3.59,0.1,27.3,16.7,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,1.1956,0.346,229.552475,39.636861,-
083549.42+182520.0,128.95593909853739,18.422248224905307,4.412,VI,J083549.4+182520,1,083549+182519,1,J083548+182504,1,J083549.4+182519,1,773268,J083549.4+182519,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  773268,RACS_0843+18A,8548,58595.50392,1,128.95586,18.422192,0.06,0.06,63.177,0.646,4.965,60.975,0.364,25.51,0.15,25.4,0.15,148.66,57.24,5.03,0.15,4.46,0.15,148.66,57.24,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,1.9014,0.361,206.838929,31.032627,-
153533.88+025423.3,233.8911962705384,2.906495793639392,4.388,VI,J153533.8+025423,1,153533+025422,1,J153533+025421,1,J153533.8+025422,1,1392087,J153533.8+025422,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno= 1392087,RACS_1531+00A,8589,58601.58773,1,233.89099,2.906344,0.04,0.04,79.354,0.56,6.081,77.284,0.318,25.47,0.1,25.23,0.1,163.75,21.55,4.67,0.1,3.43,0.1,163.75,21.55,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.119,0.316,8.459769,43.917174,-
102107.57+220921.4,155.28156874881194,22.1559589972318,4.262,VI,J102107.5+220921,1,102107+220921,1,J102107+220924,1,J102107.5+220922,1,911655,J102107.5+220922,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  911655,RACS_1024+25A,13665,58970.48801,1,155.28148,22.156221,0.06,0.06,197.951,1.977,14.492,195.412,1.132,25.29,0.15,25.07,0.14,7.56,30.96,3.6,0.15,1.84,0.14,7.56,30.96,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.0925,1.128,212.835492,55.61087,-
