sdss_name,sdss_ra,sdss_dec,sdss_class,sdss_z,sdss_source_z,sdss_zwarning,z_reliable_flag,FIRST,source_tier_first,Fpeak_first,Fint_first,Rms_first,NVSS,source_tier_nvss,S1.4_nvss,e_S1.4_nvss,GLEAM,source_tier_gleam,Fpwide_gleam,e_Fpwide_gleam,Fintwide_gleam,e_Fintwide_gleam,RACS-DR1,source_tier_racs,Fpk_racs,e_Fpk_racs,Ftot_racs,e_Ftot_racs,source_tier_flag
102651.46+590628.0,156.71444106340323,59.10779601749842,QSO,3.407,VI,0,1,J102651.4+590628,1,79.69,82.6,0.155,102651+590628,1,84.2,2.6,,NA,,,,,,NA,,,,,5.0
100025.33+590459.6,150.10555414206658,59.08324598504326,QSO,3.502,VI,0,1,J100025.3+590459,1,30.57,30.86,0.138,100025+590459,1,61.8,1.9,,NA,,,,,,NA,,,,,5.0
102032.50+585849.2,155.13545233721447,58.98034784558816,QSO,3.421,VI,0,1,J102032.5+585849,1,51.25,51.98,0.156,102032+585849,1,53.1,1.6,,NA,,,,,,NA,,,,,5.0
111014.02+585744.1,167.55842615989195,58.96225383510211,QSO,3.102,VI,0,1,J111014.0+585744,1,1.84,1.92,0.152,111014+585750,1,2.7,0.4,,NA,,,,,,NA,,,,,5.0
130204.52+585353.9,195.51885707404824,58.8983074140904,QSO,3.281,PIPE,0,2,J130204.5+585353,1,1.15,0.95,0.148,,NA,,,,NA,,,,,,NA,,,,,1.0
152506.57+585140.4,231.27739058831054,58.86123557360104,QSO,3.396,PIPE,0,2,J152506.5+585140,1,14.45,22.56,0.157,152506+585142,1,23.9,0.8,,NA,,,,,,NA,,,,,5.0
155307.12+585013.5,238.2796753591066,58.837087559641,QSO,3.709,VI,4,1,J155307.0+585013,1,1.06,1.37,0.152,155306+585016,1,2.6,0.4,,NA,,,,,,NA,,,,,5.0
153729.55+583224.7,234.37313240031088,58.540212087441255,QSO,3.069,VI,0,1,J153729.5+583224,1,13.62,14.18,0.146,153729+583227,1,14.5,0.6,,NA,,,,,,NA,,,,,5.0
103005.97+582255.2,157.52489151890052,58.38200971791446,QSO,3.433,PIPE,0,2,J103005.9+582255,1,126.51,135.76,0.162,103005+582255,1,143.5,4.3,,NA,,,,,,NA,,,,,5.0
094522.20+582132.1,146.34251645128882,58.3589320711302,QSO,3.183,VI,0,1,J094522.1+582132,1,149.44,152.74,0.107,094522+582131,1,159.9,4.8,,NA,,,,,,NA,,,,,5.0
120957.51+582011.4,182.4896511484942,58.336508049186065,QSO,3.182,PIPE,0,2,J120957.5+582011,1,5.73,5.54,0.117,120957+582013,1,7.9,0.5,,NA,,,,,,NA,,,,,5.0
135213.31+581536.7,208.0554748393488,58.260206533698735,QSO,3.122,VI,0,1,J135213.3+581536,1,13.54,13.8,0.132,135213+581534,1,9.6,0.5,,NA,,,,,,NA,,,,,5.0
105137.83+580721.0,162.9076421993469,58.12250185356354,QSO,3.255,VI,4,1,J105137.8+580721,1,1.09,1.01,0.142,,NA,,,,NA,,,,,,NA,,,,,1.0
100724.88+580203.5,151.8536767118067,58.034311208096035,QSO,3.768,VI,0,1,J100724.8+580203,1,160.17,167.47,0.151,100724+580203,1,185.7,5.6,,NA,,,,,,NA,,,,,5.0
122942.24+580103.7,187.42604118974555,58.01770481928377,QSO,3.204,VI,0,1,J122942.2+580104,1,1.66,1.74,0.155,122941+580104,1,13.2,1.1,,NA,,,,,,NA,,,,,5.0
094134.29+575823.0,145.39289552306485,57.97308005039194,QSO,3.031,VI,0,1,J094134.3+575823,1,1.82,1.72,0.149,,NA,,,,NA,,,,,,NA,,,,,1.0
121332.55+575814.6,183.38565886675693,57.97074065416728,QSO,3.029,VI,64,1,J121332.5+575814,1,9.53,10.15,0.14,121332+575816,1,11.3,0.5,,NA,,,,,,NA,,,,,5.0
112530.49+575722.7,171.37708070650325,57.956313646242144,QSO,3.686,VI,0,1,J112530.4+575722,1,2.52,2.99,0.139,112530+575731,1,3.0,0.5,,NA,,,,,,NA,,,,,5.0
154703.18+575253.4,236.76328166339397,57.88151584862959,QSO,3.29,VI,0,1,J154703.2+575253,1,4.59,4.37,0.139,154703+575252,1,5.2,0.4,,NA,,,,,,NA,,,,,5.0
130337.13+574735.4,195.9047194260989,57.79318266396002,QSO,3.068,VI,0,1,J130337.1+574735,1,5.77,6.05,0.145,130337+574737,1,8.3,0.5,,NA,,,,,,NA,,,,,5.0
110727.41+574203.0,166.86424698463253,57.70083535032019,QSO,3.036,VI,0,1,J110727.4+574203,1,49.85,51.91,0.15,110727+574203,1,57.7,1.8,,NA,,,,,,NA,,,,,5.0
130940.70+573309.9,197.41960155465637,57.55276662693795,QSO,4.281,VI,0,1,J130940.6+573310,1,10.65,11.33,0.139,130940+573311,1,11.2,0.9,,NA,,,,,,NA,,,,,5.0
131559.28+572706.6,198.99702559530903,57.45183551730627,QSO,3.424,VI,0,1,J131559.2+572706,1,3.97,3.7,0.138,131559+572705,1,2.6,0.4,,NA,,,,,,NA,,,,,5.0
135326.02+572552.8,208.35844748916082,57.43134956470372,QSO,3.476,VI,0,1,J135326.0+572552,1,190.43,214.16,0.137,135326+572551,1,298.7,9.0,,NA,,,,,,NA,,,,,5.0
104018.51+572448.1,160.07716524490763,57.41338183762732,QSO,3.411,VI,0,1,J104018.5+572448,1,2.92,2.77,0.144,104019+572442,1,2.2,0.4,,NA,,,,,,NA,,,,,5.0
134328.73+572147.1,205.86971496752275,57.363090437949744,QSO,3.039,VI,0,1,J134328.7+572146,1,46.31,48.19,0.151,134328+572147,1,49.5,1.9,,NA,,,,,,NA,,,,,5.0
082832.54+572135.7,127.13561619675211,57.35994360214212,QSO,3.22,VI,0,1,J082832.5+572135,1,7.02,6.99,0.149,082832+572128,1,9.3,1.2,,NA,,,,,,NA,,,,,5.0
153007.24+571301.7,232.5301816912434,57.217141537787235,QSO,3.246,VI,0,1,J153007.2+571301,1,49.94,55.53,0.152,153007+571301,1,50.3,1.6,,NA,,,,,,NA,,,,,5.0
160953.39+570500.2,242.47247319077684,57.0834015253404,QSO,3.039,VI,68,1,J160953.4+570500,1,2.17,2.52,0.137,,NA,,,,NA,,,,,,NA,,,,,1.0
150630.00+570403.2,226.62502449228975,57.06756931931065,QSO,3.28,VI,4,1,J150630.1+570403,1,1.29,1.77,0.14,,NA,,,,NA,,,,,,NA,,,,,1.0
131255.27+570341.8,198.23033102412703,57.0616343646265,QSO,3.039,VI,0,1,J131255.2+570342,1,1.3,1.16,0.134,,NA,,,,NA,,,,,,NA,,,,,1.0
151002.92+570243.4,227.51218651645146,57.04539055186517,QSO,4.313,VI,0,1,J151002.9+570243,1,248.07,254.97,0.136,151002+570243,1,202.0,6.1,,NA,,,,,,NA,,,,,5.0
131925.71+570054.2,199.85713310163595,57.01508106818872,QSO,3.678,VI,0,1,J131925.7+570054,1,5.0,4.8,0.135,131925+570053,1,4.7,0.4,,NA,,,,,,NA,,,,,5.0
133256.23+565753.2,203.23432123513678,56.96478709694571,QSO,3.096,VI,0,1,J133256.2+565753,1,9.48,12.34,0.151,133256+565752,1,15.2,0.6,,NA,,,,,,NA,,,,,5.0
122810.20+565604.5,187.04253444102886,56.93458593211448,QSO,3.361,PIPE,0,2,J122810.2+565604,1,9.71,9.12,0.144,122810+565605,1,10.1,0.5,,NA,,,,,,NA,,,,,5.0
152949.49+563149.1,232.45621013539267,56.53030725151907,QSO,3.29,PIPE,0,2,J152949.4+563148,1,1.69,1.98,0.146,,NA,,,,NA,,,,,,NA,,,,,1.0
091017.75+562445.0,137.57398842472998,56.4125113316332,QSO,3.699,VI,0,1,J091017.7+562444,1,1.75,1.88,0.142,,NA,,,,NA,,,,,,NA,,,,,1.0
143320.06+562227.9,218.3336138736148,56.374440514424236,QSO,3.383,VI,0,1,J143320.1+562227,1,1.14,0.82,0.144,,NA,,,,NA,,,,,,NA,,,,,1.0
163531.82+562020.6,248.88258827897272,56.33908150780407,QSO,3.252,VI,0,1,J163531.8+562020,1,1.34,2.74,0.141,,NA,,,,NA,,,,,,NA,,,,,1.0
142712.90+561908.3,216.80378848653055,56.31897459039032,QSO,4.247,VI,0,1,J142712.9+561908,1,20.1,20.48,0.146,142712+561908,1,21.6,0.8,,NA,,,,,,NA,,,,,5.0
142043.11+561355.4,215.17964521418924,56.232078937700756,QSO,3.485,VI,0,1,J142043.1+561355,1,1.45,1.51,0.148,,NA,,,,NA,,,,,,NA,,,,,1.0
153408.77+560833.4,233.5365473882507,56.14263505464322,QSO,3.104,VI,0,1,J153408.8+560834,1,1.84,2.3,0.15,,NA,,,,NA,,,,,,NA,,,,,1.0
082130.75+560744.1,125.37814359058653,56.128925333723814,QSO,3.48,VI,0,1,J082130.7+560744,1,8.11,7.91,0.182,082130+560730,1,5.1,0.5,,NA,,,,,,NA,,,,,5.0
092543.16+560712.8,141.42984256391995,56.12024198585966,QSO,3.082,VI,0,1,J092543.1+560712,1,2.21,1.78,0.155,092543+560712,1,3.1,0.5,,NA,,,,,,NA,,,,,5.0
122326.47+560448.8,185.8603061299542,56.08024786177789,QSO,3.192,PIPE,0,2,J122326.4+560448,1,14.96,16.1,0.151,122326+560449,1,15.9,0.6,,NA,,,,,,NA,,,,,5.0
160547.50+555908.6,241.4479307988996,55.98573538863679,QSO,3.357,VI,0,1,J160547.5+555909,1,1.55,2.02,0.134,,NA,,,,NA,,,,,,NA,,,,,1.0
150002.92+555847.1,225.0121951112279,55.97976871003944,QSO,3.509,VI,4,1,J150002.9+555846,1,1.37,0.81,0.139,,NA,,,,NA,,,,,,NA,,,,,1.0
161724.04+555610.8,244.35019566982166,55.93635683737339,QSO,3.092,PIPE,0,2,J161724.0+555610,1,9.7,13.04,0.132,161724+555610,1,15.2,0.6,,NA,,,,,,NA,,,,,5.0
123044.87+555334.3,187.68695846514413,55.89286283762913,QSO,3.138,VI,0,1,J123044.8+555334,1,30.09,32.55,0.136,123044+555334,1,34.3,1.1,,NA,,,,,,NA,,,,,5.0
140345.52+555128.5,210.9396833096701,55.8579244444931,QSO,3.18,VI,0,1,J140345.4+555128,1,1.85,1.98,0.139,140346+555126,1,2.3,0.4,,NA,,,,,,NA,,,,,5.0
112144.26+554953.3,170.43443267875668,55.83147847479021,QSO,3.193,VI,0,1,J112144.2+554953,1,4.36,3.71,0.138,112144+554950,1,5.2,0.4,,NA,,,,,,NA,,,,,5.0
124546.58+554527.0,191.44408657153033,55.75751382659514,QSO,4.432,VI,0,1,J124546.5+554526,1,3.91,4.69,0.15,124547+554526,1,4.4,0.5,,NA,,,,,,NA,,,,,5.0
102527.68+554458.3,156.36533331966695,55.74953882055379,QSO,3.3,VI,0,1,J102527.7+554458,1,2.25,3.16,0.148,102527+554455,1,3.8,0.5,,NA,,,,,,NA,,,,,5.0
124728.05+554131.7,191.86690520117753,55.69215770243984,QSO,3.176,VI,0,1,J124728.1+554131,1,3.15,2.77,0.152,124727+554134,1,2.8,0.5,,NA,,,,,,NA,,,,,5.0
161920.04+553603.7,244.8334998736326,55.60104406485216,QSO,5.414,VI,4,1,J161920.0+553603,3,32.07,32.35,0.136,161919+553600,3,48.1,1.8,,NA,,,,,,NA,,,,,0.0
105019.00+553154.2,162.57916887633107,55.531746345776185,QSO,3.052,VI,0,1,J105019.0+553154,1,1.34,1.41,0.144,,NA,,,,NA,,,,,,NA,,,,,1.0
102343.13+553132.3,155.92973837268966,55.52564936132063,QSO,4.48,VI,0,1,J102343.1+553132,1,1.99,2.79,0.144,,NA,,,,NA,,,,,,NA,,,,,1.0
140707.48+553105.7,211.78118042660577,55.518255615280204,QSO,3.918,VI,0,1,J140707.4+553105,1,6.02,5.39,0.14,140707+553107,1,5.0,0.4,,NA,,,,,,NA,,,,,5.0
114615.17+552942.0,176.5632384068806,55.495013512653,QSO,3.189,VI,4,1,J114615.1+552942,1,1.04,2.44,0.138,,NA,,,,NA,,,,,,NA,,,,,1.0
150206.53+552146.5,225.52723650520716,55.36292722029977,QSO,3.33,VI,0,1,J150206.5+552146,1,86.54,91.94,0.151,150206+552146,1,89.4,2.7,,NA,,,,,,NA,,,,,5.0
161959.52+551453.7,244.9980010762775,55.24825568362089,QSO,3.102,VI,0,1,J161959.4+551453,1,2.23,2.42,0.147,,NA,,,,NA,,,,,,NA,,,,,1.0
103730.30+551447.0,159.37628680242887,55.24640888380076,QSO,3.43,PIPE,0,2,J103730.2+551446,1,5.49,5.93,0.151,103729+551445,1,5.5,0.4,,NA,,,,,,NA,,,,,5.0
133750.12+551400.3,204.458838581527,55.233417448887124,QSO,3.395,VI,0,1,J133750.0+551400,1,8.45,8.25,0.153,133749+551358,1,8.0,0.5,,NA,,,,,,NA,,,,,5.0
105437.23+551223.4,163.6551284605993,55.20652039063416,QSO,3.314,VI,0,1,J105437.2+551223,1,73.14,75.74,0.196,105437+551223,1,74.6,2.3,,NA,,,,,,NA,,,,,5.0
121103.89+545950.7,182.76623422971414,54.99743121568864,QSO,3.602,VI,0,1,J121103.9+545950,1,28.72,30.01,0.152,121103+545950,1,24.5,0.8,,NA,,,,,,NA,,,,,5.0
131729.28+545720.6,199.37200262807505,54.955746802406594,QSO,5.07,PIPE,0,2,J131729.2+545720,1,4.9,5.3,0.159,131729+545724,1,4.0,0.4,,NA,,,,,,NA,,,,,5.0
140822.98+545037.3,212.09577823122606,54.84372162662913,QSO,3.233,VI,0,1,J140823.0+545037,1,2.8,2.68,0.144,140823+545026,1,3.2,0.5,,NA,,,,,,NA,,,,,5.0
115351.74+544759.8,178.4656053585904,54.79995269871087,QSO,3.092,PIPE,0,2,J115351.7+544759,1,11.38,11.54,0.255,115351+544803,1,8.1,0.5,,NA,,,,,,NA,,,,,5.0
124054.91+543652.2,190.22880092285862,54.61450411559609,QSO,3.938,VI,0,1,J124054.9+543652,1,14.89,15.09,0.149,124054+543652,1,13.8,0.6,,NA,,,,,,NA,,,,,5.0
142634.84+543622.7,216.64519954805445,54.60631529552557,QSO,4.856,VI,0,1,J142634.8+543622,1,4.28,4.36,0.152,142634+543617,1,2.5,0.4,,NA,,,,,,NA,,,,,5.0
143533.77+543559.2,218.89074760038125,54.59979425848215,QSO,3.81,VI,0,1,J143533.7+543559,1,93.26,95.78,0.149,143533+543559,1,83.4,2.5,,NA,,,,,,NA,,,,,5.0
120041.35+543549.6,180.17231742388248,54.59713459711806,QSO,3.91,VI,0,1,J120041.3+543549,1,2.52,1.93,0.151,,NA,,,,NA,,,,,,NA,,,,,1.0
103736.43+543020.7,159.40179452830085,54.505757553721956,QSO,3.111,PIPE,0,2,J103736.4+543020,1,10.25,11.44,0.247,103736+543024,1,11.5,0.5,,NA,,,,,,NA,,,,,5.0
124230.57+542257.3,190.62740828396448,54.38261022855111,QSO,4.734,VI,0,1,J124230.6+542257,1,19.74,20.21,0.129,124230+542256,1,19.7,0.7,,NA,,,,,,NA,,,,,5.0
094921.32+542240.2,147.3388621438882,54.37783894220279,QSO,3.4,VI,0,1,J094921.3+542240,1,8.09,8.65,0.146,094921+542241,1,7.6,0.5,,NA,,,,,,NA,,,,,5.0
131043.25+541911.4,197.68023576323847,54.319834198093375,QSO,3.06,VI,0,1,J131043.2+541911,1,4.53,4.65,0.151,131043+541912,1,6.4,0.5,,NA,,,,,,NA,,,,,5.0
093336.57+541757.3,143.40239506096816,54.2992519268459,QSO,3.214,VI,0,1,J093336.6+541757,1,1.01,1.13,0.142,093336+541758,1,2.4,0.5,,NA,,,,,,NA,,,,,5.0
142921.87+540611.1,217.3411329302748,54.103109716551316,QSO,3.03,VI,0,1,J142921.8+540610,1,1129.47,1165.36,0.198,142921+540611,1,1028.3,30.9,,NA,,,,,,NA,,,,,5.0
173352.23+540030.4,263.467629,54.008469,QSO,3.435,DR6Q_HW,-1,1,J173352.2+540030,1,7.72,7.76,0.138,173352+540034,1,6.4,0.4,,NA,,,,,,NA,,,,,5.0
131003.34+535348.2,197.5139265545927,53.896737075580816,QSO,3.28,VI,0,1,J131003.3+535348,1,13.94,14.45,0.146,131003+535347,1,13.1,0.6,,NA,,,,,,NA,,,,,5.0
133223.26+535018.5,203.09694627531292,53.838489412518946,QSO,3.428,VI,0,1,J133223.2+535018,1,21.69,22.32,0.144,133223+535017,1,21.8,0.8,,NA,,,,,,NA,,,,,5.0
