sdss_name,sdss_ra,sdss_dec,sdss_class,sdss_z,sdss_source_z,sdss_z_pipe,sdss_zwarning,sdss_z_vi,sdss_z_conf,sdss_is_qso_qn,sdss_z_qn,FIRST_r1,RA_deg_r1,DEC_deg_r1,Fpeak_r1,Fint_r1,Rms_r1,Maj_r1,Min_r1,PA_r1,Separation_first,GrpSize_before_first,group_z_min_first,group_z_max_first,GroupID_first,GroupSize_first,match_tier_first,NVSS_r2,RA_deg_r2,e_RAJ2000_r2,DEC_deg_r2,e_DEJ2000_r2,S1.4_r2,e_S1.4_r2,MajAxis_r2,MinAxis_r2,Separation_nvss,GrpSize_before_nvss,group_z_min_nvss,group_z_max_nvss,GroupID_nvss,GroupSize_nvss,match_tier_nvss,GLEAM_r3,RA_deg_r3,e_RAJ2000_r3,DEC_deg_r3,e_DEJ2000_r3,Fpwide_r3,e_Fpwide_r3,Fintwide_r3,e_Fintwide_r3,awide_r3,e_awide_r3,bwide_r3,e_bwide_r3,pawide_r3,psfawide_r3,psfbwide_r3,psfPAwide_r3,Separation_gleam,GrpSize_before_gleam,group_z_min_gleam,group_z_max_gleam,GroupID_gleam,GroupSize_gleam,match_tier_gleam,RACS-DR1_r4,RA_deg_r4,e_RAJ2000_r4,DEC_deg_r4,e_DEJ2000_r4,Ftot_r4,e_Ftot_r4,Fpk_r4,e_Fpk_r4,amaj_r4,bmin_r4,e_amaj_r4,e_bmin_r4,PA_r4,e_PA_r4,amaj0_r4,bmin0_r4,PA0_r4,e_amaj0_r4,e_bmin0_r4,e_PA0_r4,Separation_racs,GrpSize_before_racs,group_z_min_racs,group_z_max_racs,GroupID_racs,GroupSize_racs,match_tier_racs,likeli_first,likeli_nvss,likeli_gleam,likeli_racs
102651.46+590628.0,156.71444106,59.10779602,QSO,3.407,VI,3.4076364,0,3.407,3.0,1.0,3.40578745,J102651.4+590628,156.71441712,59.10783228,79.69,82.6,0.155,1.18,0.87,174.2,0.13785784,1,,,NA,1,1,102651+590628,156.71400046,0.06,59.10786562,0.6,84.2,2.6,19.9,17.4,0.85206159,3,0.13249999,3.407,8347,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.3343544,6.99546259,,
100025.33+590459.6,150.10555414,59.08324599,QSO,3.502,VI,3.50231504,0,3.502,3.0,1.0,3.49953231,J100025.3+590459,150.10553704,59.08325772,30.57,30.86,0.138,0.87,0.0,28.3,0.05279184,1,,,NA,1,1,100025+590459,150.1054162,0.06,59.08314384,0.6,61.8,1.9,17.7,15.8,0.44757923,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.12803903,2.26978082,,
102032.50+585849.2,155.13545234,58.98034785,QSO,3.421,VI,3.42133832,0,3.421,3.0,1.0,3.41504056,J102032.5+585849,155.13543771,58.98033517,51.25,51.98,0.156,0.92,0.0,171.4,0.05307916,1,,,NA,1,1,102032+585849,155.13504188,0.07,58.98047684,0.6,53.1,1.6,18.8,15.2,0.89190805,4,0.64389998,3.421,8184,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.12873586,6.28483683,,
111014.02+585744.1,167.55842616,58.96225384,QSO,3.102,VI,3.10135484,0,3.102,3.0,1.0,3.09514411,J111014.0+585744,167.5585017,58.96222588,1.84,1.92,0.152,2.57,0.0,69.9,0.17259628,1,,,NA,1,1,111014+585750,167.55991837,0.79,58.96403144,5.7,2.7,0.4,58.900005,52.300003,6.97303957,2,0.6196,3.102,9560,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.41860736,3.65496245,,
155307.12+585013.5,238.27967536,58.83708756,QSO,3.70900011,VI,3.72983027,4,3.70900011,3.0,1.0,3.71879544,J155307.0+585013,238.27931033,58.83718552,1.06,1.37,0.152,5.42,0.0,148.7,0.76600572,1,,,NA,1,1,155306+585016,238.279002,0.71,58.8377744,5.8,2.6,0.4,54.0,50.8,2.77262583,3,0.2987,3.70900011,16907,3,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.85783883,1.80067422,,
153729.55+583224.7,234.3731324,58.54021209,QSO,3.069,VI,3.07332516,0,3.069,3.0,1.0,3.05339873,J153729.5+583224,234.37313976,58.54021642,13.62,14.18,0.146,1.61,0.0,2.2,0.02085404,1,,,NA,1,1,153729+583227,234.37316893,0.13,58.54108031,1.3,14.5,0.6,31.3,20.0,3.12636402,4,,,16572,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.05057847,2.43347777,,
154312.67+582150.7,235.80280318,58.36408717,QSO,3.304,VI,3.30434608,0,3.304,3.0,1.0,3.30080846,J154312.7+582150,235.80296874,58.36393574,46.27,49.44,0.136,1.81,0.87,172.2,0.62843868,1,,,NA,1,1,154312+582148,235.80321041,0.07,58.36352463,0.6,56.3,2.1,23.0,16.8,2.16623766,3,,,16691,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.52418687,7.12517683,,
094522.20+582132.1,146.34251645,58.35893207,QSO,3.183,VI,3.18472481,0,3.183,3.0,1.0,3.18558913,J094522.1+582132,146.342403,58.35890239,149.44,152.74,0.107,0.88,0.72,89.99999,0.23942598,1,,,NA,1,1,094522+582131,146.34245717,0.06,58.35878295,0.6,159.9,4.8,16.2,15.7,0.54840354,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.5806931,1.30410991,,
135213.31+581536.7,208.05547484,58.26020653,QSO,3.122,VI,3.12202001,0,3.122,3.0,1.0,3.1271501,J135213.3+581536,208.05542428,58.26023574,13.54,13.8,0.132,1.43,0.0,144.3,0.14221284,1,,,NA,1,1,135213+581534,208.05675345,0.2,58.25947185,1.5,9.6,0.5,28.7,24.2,3.58591936,2,,,13983,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.34491685,10.97107346,,
105137.83+580721.0,162.9076422,58.12250185,QSO,3.255,VI,3.27240872,4,3.255,3.0,1.0,3.25534933,J105137.8+580721,162.90751344,58.12265404,1.09,1.01,0.142,3.46,0.0,14.1,0.60007492,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.45539598,,,
100724.88+580203.5,151.85367671,58.03431121,QSO,3.768,VI,3.76952744,0,3.768,3.0,1.0,3.76750679,J100724.8+580203,151.85352037,58.03432706,160.17,167.47,0.151,1.33,0.94,71.2,0.30337967,1,,,NA,1,1,100724+580203,151.85370787,0.06,58.03439373,0.6,185.7,5.6,17.3,15.2,0.30294018,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.73580394,0.70557264,,
094134.29+575823.0,145.39289552,57.97308005,QSO,3.031,VI,3.0392673,0,3.031,3.0,1.0,3.0349415,J094134.3+575823,145.39301945,57.97311355,1.82,1.72,0.149,1.03,0.0,179.09999,0.26556409,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.64408777,,,
121332.55+575814.6,183.38565887,57.97074065,QSO,3.029,VI,3.02873492,64,3.029,3.0,1.0,3.02877022,J121332.5+575814,183.38566937,57.97073553,9.53,10.15,0.14,1.56,1.15,22.6,0.02724005,1,,,NA,1,1,121332+575816,183.38604437,0.16,57.97122442,1.3,11.3,0.5,26.7,22.2,1.89069497,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.06606682,4.12324231,,
112530.49+575722.7,171.37708071,57.95631365,QSO,3.686,VI,3.68522,0,3.686,3.0,1.0,3.66809472,J112530.4+575722,171.37697676,57.95626166,2.52,2.99,0.139,2.47,2.14,74.5,0.27283449,1,,,NA,1,1,112530+575731,171.3768351,0.69,57.95864222,8.3,3.0,0.5,85.0,48.8,8.39596964,2,0.1761,3.686,9950,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.66172057,1.21352733,,
081719.42+575652.8,124.33094037,57.94800012,QSO,3.421,VI,3.42106295,0,3.421,3.0,1.0,3.41266118,J081719.4+575652,124.33097862,57.94804766,8.85,9.52,0.143,2.1,0.29,168.3,0.18608622,1,,,NA,1,1,081719+575652,124.33178695,0.19,57.94792266,1.6,9.9,0.5,28.7,23.9,1.64123844,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.45132542,7.5348652,,
154703.18+575253.4,236.76328166,57.88151585,QSO,3.29,VI,3.29025793,0,3.29,3.0,1.0,3.28665753,J154703.2+575253,236.763431,57.88151343,4.59,4.37,0.139,1.15,0.0,158.0,0.28596573,1,,,NA,1,1,154703+575252,236.76312683,0.4,57.88121898,3.0,5.2,0.4,47.8,34.0,1.1090392,5,0.16060001,3.29,16792,5,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.69356875,0.80209991,,
130337.13+574735.4,195.90471943,57.79318266,QSO,3.068,VI,3.0678072,0,3.068,3.0,1.0,3.06322283,J130337.1+574735,195.90470734,57.79318981,5.77,6.05,0.145,1.76,0.0,8.6,0.03461542,1,,,NA,1,1,130337+574737,195.90583651,0.21,57.79377869,2.3,8.3,0.5,43.099995,25.9,3.03282488,5,0.49259999,3.068,12649,5,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.08395472,9.26208834,,
122739.42+574539.8,186.9142543,57.76105953,QSO,3.2980001,VI,3.31600595,0,-1.0,0.0,1.0,3.28419264,J122739.4+574539,186.91433616,57.76106851,33.31,34.37,0.144,1.34,0.28,7.9,0.16047756,1,,,NA,1,1,122739+574539,186.91412782,0.07,57.76097407,0.7,37.4,1.2,17.7,15.1,0.39200245,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.3892153,2.03692936,,
110727.41+574203.0,166.86424698,57.70083535,QSO,3.036,VI,3.03507042,0,3.036,3.0,1.0,3.03255293,J110727.4+574203,166.86432208,57.70090094,49.85,51.91,0.15,1.32,0.81,23.3,0.27680484,1,,,NA,1,1,110727+574203,166.86425125,0.06,57.70097594,0.6,57.7,1.8,16.0,14.6,0.50618956,4,0.7421,3.036,9473,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.67135052,0.83502481,,
130940.70+573309.9,197.41960155,57.55276663,QSO,4.281,VI,4.28164768,0,4.281,3.0,1.0,4.26780013,J130940.6+573310,197.41957396,57.55278687,10.65,11.33,0.139,1.58,1.09,30.499998,0.09028222,1,,,NA,1,1,130940+573311,197.41850313,0.19,57.55322298,1.8,11.2,0.9,26.8,27.4,2.68330633,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.21896658,9.92319359,,
131559.28+572706.6,198.9970256,57.45183552,QSO,3.424,VI,3.42518616,0,3.424,3.0,1.0,3.41009415,J131559.2+572706,198.99701978,57.45189781,3.97,3.7,0.138,0.51,0.0,39.0,0.22454653,1,,,NA,1,1,131559+572705,198.99816978,0.83,57.45138948,7.8,2.6,0.4,79.2,52.999996,2.73670276,4,0.20909999,3.424,13043,4,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.54460532,2.65880856,,
135326.02+572552.8,208.35844749,57.43134956,QSO,3.476,VI,3.47644305,0,3.476,3.0,1.0,3.46376517,J135326.0+572552,208.35839897,57.43130238,190.43,214.16,0.137,2.6,0.88,124.7,0.19416524,1,,,NA,1,1,135326+572551,208.35921147,0.06,57.43108293,0.6,298.7,9.0,17.8,17.0,1.76446425,3,,,14013,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.4709198,12.79309265,,
